"id","receita_mil","invest_digital","invest_tradicional","num_promotores","taxa_conversao","impressoes_mil","cpc","num_cliques_mil","duracao_dias","canal","sazonalidade"
90,161.68,22.45,6.55,3,2.83,393.2,3.11,31.1,58,"Redes Sociais","Alta"
91,191.07,39.22,0,1,2.86,819.7,2.93,51.5,56,"Display","Baixa"
92,126.32,17.19,9.21,1,3.48,368.4,2.92,22.8,12,"SEO","Alta"
93,218.57,40.45,2.15,2,3.14,753.4,2.17,48.2,11,"SEO","Alta"
94,187.76,31.47,5.38,3,2.09,662.2,2.28,36.5,47,"Redes Sociais","Alta"
95,179.83,25.31,15.67,3,2.81,487.1,3.23,40.5,42,"Redes Sociais","Alta"
96,235.16,38.97,16.78,3,NA,737.7,2.34,49.4,29,"Redes Sociais","Alta"
97,155.75,20.59,13.39,5,3.91,433.9,3.42,18.4,46,"SEO","Baixa"
98,120.94,20.64,8.86,1,1.46,379.6,3.82,17.3,48,"E-mail","Baixa"
99,159.13,24.92,5.01,5,2.71,483.5,3.51,29.1,50,"SEO","Baixa"
100,164.74,23.79,10.42,4,1.86,446.4,2.63,26,59,"E-mail","Baixa"
101,129.46,23.22,12.18,0,1.1,503.2,3.57,29.3,42,"Redes Sociais","Baixa"
102,133.52,22.8,12.38,0,2.12,470.3,2.8,25.2,56,"SEO","Baixa"
103,118.86,14.7,1.71,6,1.69,305.9,3.35,15.6,57,"E-mail","Alta"
104,190.53,36.5,2.28,3,2.54,746.6,2.87,47.2,36,"Redes Sociais","Baixa"
105,143.14,14.93,3.61,2,2.81,317.4,3.46,23.3,12,"Redes Sociais","Alta"
106,128.18,15.88,10,3,2.58,329.4,3.21,23.2,59,"Redes Sociais","Baixa"
107,106.78,14.6,1.05,0,2.5,316.8,3.37,18.3,49,"SEO","Alta"
108,226.97,44.91,12.06,2,3.05,839,2.74,54.7,16,"SEO","Baixa"
109,181.61,31.68,NA,4,2.11,622,1.99,28.9,26,"Redes Sociais","Alta"
110,178.58,32.22,10.07,2,0.34,657.9,2.77,30.8,47,"E-mail","Alta"
111,95.58,2,7.5,2,3.4,92.1,3.72,10.9,23,"E-mail","Alta"
112,138.54,20.44,8.44,1,2.41,466.7,3.29,23.1,30,"Display","Alta"
113,236.85,38.89,17.57,6,3.09,732.2,2.68,45.5,53,"Redes Sociais","Baixa"
114,243.09,41.68,7.53,4,2.93,791,3.27,56.4,44,"Redes Sociais","Alta"
115,53.3,2,7.99,0,2.39,126.1,3.58,3.4,59,"Redes Sociais","Baixa"
116,80.98,2,6.3,2,3.03,49.8,3.52,0.5,18,"Redes Sociais","Alta"
117,68.78,8.58,11.81,0,1.47,162.2,3.26,0.5,42,"E-mail","Baixa"
118,121.71,8.52,15.01,3,2.89,222.7,4.37,11.2,59,"Redes Sociais","Baixa"
119,215.72,33.85,2.94,3,3.52,647,2.51,37.9,48,"Redes Sociais","Alta"
120,196.06,30.46,9.33,2,3.72,568.9,3.25,39.7,9,"SEO","Alta"
121,238.15,46.32,0,1,2.12,855.9,2.89,49.2,25,"E-mail","Alta"
122,174.5,27.34,15.86,0,2.27,565.9,2.7,30.9,42,"Redes Sociais","Baixa"
123,143.27,20.86,10.36,2,3.35,404.8,3.55,24.1,39,"E-mail","Baixa"
124,237.91,44.35,15.6,0,2.07,847.1,2.77,51.9,15,"SEO","Alta"
125,182.85,34.31,5.62,5,2.94,644,3.13,42.3,11,"E-mail","Baixa"
126,206.71,33.45,9.45,2,2.31,665.1,2.12,35.3,30,"Redes Sociais","Alta"
127,219.99,37.87,14.08,0,1.95,711.7,2.34,44.4,37,"E-mail","Alta"
128,159.55,22.43,10.8,5,2.55,467.2,2.93,28.7,56,"E-mail","Alta"
129,182.28,29.36,12.44,4,2.38,562,2.94,34.3,56,"Redes Sociais","Baixa"
130,212.86,38,14.38,0,NA,789.7,2.77,51.3,32,"E-mail","Alta"
131,59.49,2,6.49,2,2.03,98.1,3.52,0.5,56,"E-mail","Baixa"
132,168.34,25.19,8.67,1,3.06,447.5,3.12,31.9,43,"SEO","Alta"
133,157.7,14.55,8.41,6,3.92,353.1,3.7,25.1,31,"Redes Sociais","Alta"
134,130.44,14.19,5.81,7,2.18,303.2,3.92,11.7,9,"Redes Sociais","Alta"
135,98.48,15.69,0,3,1.55,339.3,3.48,20.4,37,"Display","Baixa"
136,195.48,29.34,5.19,5,1.78,619.8,2.51,29.9,8,"Redes Sociais","Alta"
137,171.78,24.79,15.52,6,2.66,508.4,2.48,27.7,11,"Redes Sociais","Baixa"
138,119.46,11.58,19.52,2,2.51,335.3,4.01,16.5,17,"E-mail","Baixa"
139,163.26,32.04,2.99,4,1.63,610.9,2.64,36,8,"E-mail","Baixa"
140,192.93,30.83,4.82,3,2.68,615.5,3.02,45.7,49,"Redes Sociais","Alta"
141,155.23,30.69,0,2,2.42,616.7,3.05,35.3,46,"SEO","Baixa"
142,170.51,29.34,9.35,4,2.75,601.9,3.21,27.7,8,"Redes Sociais","Baixa"
143,205.22,39.61,5.44,2,2.41,787.9,2.53,41.7,18,"E-mail","Baixa"
144,101.44,16.92,1.89,5,1.33,371,3.1,19.5,41,"SEO","Baixa"
145,136.61,17.81,6.51,2,3.6,333.3,3.27,19,35,"Display","Alta"
146,194.55,33.83,3.13,1,3.59,646.5,2.45,41.9,50,"Redes Sociais","Baixa"
147,196.64,32.22,12.78,4,2.53,632.1,2.74,33.8,46,"Redes Sociais","Baixa"
148,207.08,38.31,10.12,5,3.74,724.8,2.42,46.3,18,"SEO","Baixa"
149,142.62,24.86,8.53,0,3.23,507.1,2.58,27.9,56,"SEO","Baixa"
150,182.09,32.26,12.58,0,1.7,606.8,2.84,31.2,15,"Redes Sociais","Baixa"
151,209.29,38.48,10.55,3,3.17,769.9,2.91,44,55,"Redes Sociais","Baixa"
152,137.06,16.54,0,3,1.61,353.9,3.25,17.4,59,"Redes Sociais","Alta"
153,228.53,46.15,9.41,2,2.23,897.1,2.66,52.4,51,"Display","Baixa"
154,119.63,16.24,10.52,6,2.89,335.7,3.16,28.2,39,"E-mail","Baixa"
155,92.24,5.39,9.62,0,3.57,126.6,3.36,7.7,26,"SEO","Alta"
156,152.82,23.51,4.99,0,1.89,517,2.5,27.8,28,"SEO","Alta"
157,179.76,27.45,8.65,2,NA,518.2,3.37,24.4,53,"E-mail","Alta"
158,119.56,16.8,7.21,3,3.46,328.4,3.73,21.5,19,"SEO","Baixa"
159,93.9,12.8,2.16,1,2.53,259.8,3.6,15.2,17,"SEO","Baixa"
160,153.39,16.94,17.84,5,1.06,409.6,3.54,29.1,30,"Redes Sociais","Alta"
161,201.98,38.46,0.17,2,3.24,739.1,2.7,34.1,17,"Redes Sociais","Baixa"
162,65.73,2,4.62,1,3,119.3,3.46,1.2,32,"E-mail","Baixa"
163,86.9,2,NA,1,3.25,55.2,3.57,1.8,13,"Display","Alta"
164,88.62,9.51,0,1,2.46,208.5,3.13,13.1,46,"Redes Sociais","Baixa"
165,241.52,37.86,11.41,4,3.48,726.7,2.96,40.1,34,"Redes Sociais","Alta"
166,195.91,35.74,6.4,1,2.64,713.1,2.94,42.3,39,"E-mail","Baixa"
167,137.42,14.89,6.23,3,2.54,308.9,3.23,30.9,46,"Redes Sociais","Alta"
168,156.56,25.56,0,0,2.43,531,2.93,28.5,27,"E-mail","Alta"
169,196.65,32.48,4.47,3,4.35,638,2.95,38.1,53,"E-mail","Baixa"
170,207.73,30.82,10.07,3,3.16,610.2,3.16,32.1,28,"Redes Sociais","Alta"
171,176.61,31.38,5.99,6,0.56,678.5,3.54,42.7,52,"SEO","Alta"
172,156.43,27.37,14.04,NA,2.14,522.3,2.35,25.6,22,"SEO","Baixa"
173,195.64,28.92,8.33,5,3.11,599.8,2.72,32,37,"E-mail","Alta"
174,69.13,7.72,7.94,0,2,221.9,4.16,12.8,30,"SEO","Baixa"
175,270.94,50.38,7.57,4,1.84,1006.9,2.43,61.7,27,"Redes Sociais","Alta"
176,133.18,22.78,10.07,3,1.88,469.8,3.71,28.5,17,"E-mail","Baixa"
177,216.98,30.91,14.44,6,2.78,613.9,2.55,39.2,34,"Display","Alta"
178,84.36,8.66,12.27,0,2.08,210.5,3.87,5.1,33,"Display","Baixa"
179,137.3,20.62,12.06,5,2.49,442.6,2.8,22.3,45,"Display","Baixa"
180,185.82,34.07,15.71,2,2.39,681.6,2.47,39,43,"E-mail","Baixa"
181,179.57,26.76,5.88,3,2.38,523.2,3.06,36.5,53,"Redes Sociais","Alta"
182,186.94,28.14,7.74,3,2.08,583.1,2.87,33.2,50,"Redes Sociais","Alta"
183,94.72,9.33,17.32,3,1.87,235.8,2.97,11.8,21,"Display","Baixa"
184,175.24,30.91,5.55,2,3.72,627.4,2.46,36.5,37,"SEO","Baixa"
185,161.46,18.87,11.64,4,3.21,474.1,3.44,18.8,14,"Redes Sociais","Alta"
186,106.58,5.07,9.53,4,2.61,149.6,3.06,1.2,55,"Redes Sociais","Alta"
187,211.68,32.47,18.19,3,2.61,619,3.2,39.4,8,"SEO","Alta"
188,162.75,25.19,15.99,2,2.68,516.1,3.54,25.4,17,"Redes Sociais","Baixa"
189,138.64,16.19,9.2,7,3.98,333.5,2.71,21.4,12,"Redes Sociais","Baixa"
190,156.31,28.3,11.01,1,2.21,536.3,2.17,26.3,22,"E-mail","Baixa"
191,61.26,2.7,0,2,1.58,87.3,2.63,1.8,19,"E-mail","Alta"
192,265.21,49.95,7.69,4,2.56,952.4,2.72,56.5,49,"Redes Sociais","Alta"
193,70.82,2,11.43,3,2.95,115.2,3.18,0.5,22,"Redes Sociais","Baixa"
194,189.67,28.93,20.3,6,2.61,581.4,3.33,33.1,31,"Display","Baixa"
195,153.57,22.27,8.65,4,2.17,426.1,2.93,27.4,39,"Redes Sociais","Baixa"
196,127.68,10.83,11.14,4,3.19,240.3,2.8,22.3,32,"Redes Sociais","Alta"
197,186.94,28.97,8.42,5,3.72,525.6,2.46,29.8,18,"Redes Sociais","Baixa"
198,144.68,20.12,1.74,0,2.54,406.1,3.12,26.4,55,"E-mail","Alta"
199,246.49,43.3,8.45,3,3.99,790.1,3.29,52,28,"SEO","Baixa"
200,91.93,11.76,11.15,4,1.37,220,3.38,26.4,40,"Redes Sociais","Baixa"
